SampleAC1	SampleAC2	SampleAC3	SampleAC4	SampleAD1	SampleAD2	SampleAD3	SampleAD4	SampleBC1	SampleBC2	SampleBC3	SampleBC4	SampleBD1	SampleBD2	SampleBD3	SampleBD4
ENSG00000227372.12	67	42	34	39	42	25	73	46	19	26	19	22	17	38	37	21
ENSG00000276189.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162592.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235169.8	1	45	19	1	0	7	4	2	16	36	9	15	41	64	5	28
ENSG00000130764.9	127	38	72	66	91	66	101	70	45	56	40	28	48	56	63	30
ENSG00000266075.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272153.1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
ENSG00000116198.12	85	40	50	41	75	57	109	60	37	38	32	28	34	34	29	19
ENSG00000169598.15	50	20	34	31	25	15	53	29	14	15	12	8	8	19	14	6
ENSG00000198912.10	60	20	35	43	57	30	59	41	16	32	25	9	21	39	33	20
ENSG00000236423.5	3	1	4	3	1	1	3	5	1	5	4	0	1	3	6	1
ENSG00000233304.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226374.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284668.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284703.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229280.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235054.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284694.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227169.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232596.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196581.10	5	0	2	1	1	0	1	2	0	1	2	1	2	0	0	1
ENSG00000284739.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284674.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000231510.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284616.1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
ENSG00000284692.2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000284666.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000260972.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283356.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000236948.2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000264341.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264101.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131697.17	34	12	27	16	43	20	34	19	7	28	16	12	15	23	10	7
ENSG00000069424.14	721	246	450	447	629	330	504	504	249	552	257	316	446	400	390	249
ENSG00000116254.17	1	0	1	2	2	0	1	0	0	0	1	2	0	1	1	0
ENSG00000285629.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116251.10	164	91	112	142	136	160	217	125	39	95	41	52	63	53	99	43
ENSG00000226944.1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ENSG00000158286.12	10	4	4	8	1	6	5	5	2	4	5	2	0	1	6	3
ENSG00000116237.15	113	38	64	49	95	46	95	63	20	39	27	31	38	46	43	26
ENSG00000225077.3	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0
ENSG00000173673.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158292.6	25	1	4	10	6	1	7	2	1	1	0	0	4	5	6	4
ENSG00000097021.19	22	7	5	12	13	7	13	6	1	11	9	3	4	15	8	2
ENSG00000271746.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000069812.11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000187017.16	31	10	44	15	10	83	6	21	10	10	72	40	63	20	3	40
ENSG00000265392.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231868.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215788.10	227	144	146	177	83	129	228	114	30	53	30	52	61	73	49	37
ENSG00000171680.21	2	6	3	11	7	8	7	1	1	3	1	3	6	6	1	1
ENSG00000162408.10	91	54	63	55	74	69	111	54	27	42	31	29	28	49	40	27
ENSG00000253022.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229519.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173662.20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000204859.12	148	40	99	75	98	56	120	94	60	98	66	49	54	78	65	40
ENSG00000162413.16	188	95	213	185	371	137	366	261	167	272	215	186	185	194	188	142
ENSG00000116273.5	44	16	22	22	26	23	33	29	19	20	22	15	23	15	16	7
ENSG00000041988.15	33	16	21	28	32	16	38	19	12	32	8	13	9	14	16	9
